hora,region,avg_emision_ref,stddev_emision_ref,avg_emision_comb,stddev_emision_comb,avg_emision_comuna,stddev_emision_comuna,avg_emision_rebote,stddev_emision_rebote,avg_concentracion_ref,stddev_concentracion_ref,avg_concentracion_comb,stddev_concentracion_comb,avg_concentracion_comuna,stddev_concentracion_comuna,avg_concentracion_rebote,stddev_concentracion_rebote
8,Región de La Araucanía,4.1543836237630885,0.07505304750980278,1.812207075850606,0.0326901255008765,3.6336374395786235,0.065617453082542,2.496214440035305,0.04504290711903253,18.94857783213204,3.8803751421196,12.434424119204461,2.567721624017017,19.555470731346315,4.580687228890129,15.1286494693485,3.3455314784369152
8,Región de Los Lagos,3.742067625958948,0.06768450808537692,0.5621533639709244,0.010144914304240844,1.929587804241422,0.03484255640498017,2.0513039504690695,0.037031287551317765,16.411117735246474,3.133750295304693,10.149935190891348,3.235123206672599,12.659252480222145,3.0135556433535795,13.444337029155411,3.0499848053299554
8,Región de Los Ríos,2.004203636248237,0.036283495044367654,0.6083857219236616,0.010975150996597006,1.2013364668308801,0.021693054147721248,1.2988875993710998,0.02345350906035094,20.169653745049633,4.357146717850142,11.78135643135897,2.94519052135612,16.641572738774403,3.62001767117742,16.545181160893687,3.682915744653299
8,Región de Valparaíso,0.2880741505896045,0.005315071225563821,0.05860821692652085,0.001079051968058742,0.05938748986361018,0.0010931049121082424,0.05866294042423982,0.0010800390551224432,4.892831967558162,0.6630697503923826,4.283971030523474,0.9031769022914202,4.418163951198976,0.8891727245571538,4.3125132552895025,0.9044056648784071
8,Región de Ñuble,1.5782846356368285,0.02850706264454444,0.8671663062409865,0.01565055759926945,1.101894245206019,0.01989398047931944,0.8691654608653533,0.015686117874534684,18.92844541897392,5.056520491387454,12.985110907692103,3.228501409117495,16.028634874427265,4.069885839047513,13.242099681981115,3.250507800369635
8,Región del Bío-Bío,1.946833105328921,0.03526242143229392,0.967834508854046,0.017474225364546205,1.372197815375928,0.02478446788112368,0.9966085011182678,0.017993309145735666,14.701972966562785,2.7738448647633733,11.418746532385054,2.2227605886882804,14.668618864885493,2.858013302487153,12.02612552638624,2.2839219216784685
8,Región del Libertador Bernardo O'Higgins,0.3467593026686964,0.006342405565123408,0.2118375921130752,0.0038374953724331358,0.2507868151324053,0.004541988632193246,0.2202000631373916,0.003988691518216242,7.698418201352428,1.1272902261718543,6.671470629298287,1.0214992577323716,7.455018562805869,1.0921073753193837,6.833689394852873,1.034644250906561
8,Región del Maule,0.7507725922961785,0.013607168664274128,0.265754478393863,0.004803386305391009,0.5420147592012127,0.009798383332100664,0.30103351999646005,0.005440466546385869,9.154735556143672,1.7750625134497542,6.045439027206192,1.0079484293760128,7.998051857324029,1.398475622468038,6.3321659219718205,1.0512002608173634
9,Región Metropolitana de Santiago,1.527963959782703,0.02849377463007807,0.9588713026586971,0.017603176736517328,0.9597408110175001,0.017618865863195454,0.9595866841886297,0.017616083312733784,15.382213652735004,1.6270471148521068,14.124206704871572,1.9286974774210908,14.243835298014435,1.9597281282937262,14.162688112702432,1.937040702407353
9,Región de Aysén del Gral.Ibañez del Campo,1.7403366369927926,0.0315135173613525,0.274475420301196,0.004946823695434647,0.4159273204900932,0.007499928427437769,0.9147605714817667,0.016512071009417525,9.167757463160543,2.6265818261437097,8.165299792612961,2.6002501200574004,8.372042352106396,2.6705211643393185,8.87369399058357,2.4701375083847674
9,Región de La Araucanía,4.771386130458737,0.0861950107548075,2.0584349426478203,0.03712972216904145,4.134825322424474,0.0746643554638095,2.8346303868576777,0.05114691097074758,20.716228406521935,4.37515235751249,13.289642388732808,2.7982065116396333,21.306321879094426,5.144786501285989,16.299617260717824,3.6951513575031907
9,Región de Los Lagos,4.645857756383474,0.08404469620510263,0.666192760483493,0.012021021874941903,2.240114439368873,0.040448026477196676,2.43160040541603,0.04389553855862133,17.28088558297218,3.259116578448341,10.303672317613634,3.2890115826076287,13.078102883596335,3.0666571970507994,13.95652599593702,3.1324732175753307
9,Región de Los Ríos,2.540286134178172,0.045976057737211494,0.7590500012533667,0.013692940317917577,1.4329610934948114,0.0258744842590495,1.6190549946854806,0.029235231114292496,21.52284971021819,4.652746952598851,12.285650860206422,3.1118393293381272,17.636394638233114,3.890948538467054,17.554904139899122,3.973438989975784
9,Región de Valparaíso,0.3227406485350384,0.0059473142683528464,0.06562951133588646,0.0012065771049340039,0.06650478125940444,0.0012223665005723526,0.06569097611595107,0.0012076861420427744,5.185220672205783,0.6520866250572406,4.3960779867205675,0.9103433145391558,4.527291262019489,0.8977468824124188,4.423940750189088,0.9112962309854736
9,Región de Ñuble,1.7725355939645009,0.032013911763320906,0.9739687190135076,0.01758023409275429,1.2376196997978104,0.022347642580717576,0.9762141405401135,0.01762016681652907,21.202547588216646,5.6706031976666615,14.26248849868292,3.5099146284861473,17.627483993257215,4.452916660991937,14.521253349229912,3.536615541289533
9,Región del Bío-Bío,2.283473103939177,0.04134417711876701,1.144440180707727,0.02066456123133749,1.6186202724608225,0.02923863487969816,1.1777459301220594,0.021265418462789672,15.815909789030519,3.0029670096746637,12.02633063148318,2.302307485822563,15.564123593834474,3.0596555517465243,12.653666776787826,2.3825013102539057
9,Región del Libertador Bernardo O'Higgins,0.3887334675484987,0.007104086835375503,0.23778540147670119,0.004305746524350117,0.2815325540603785,0.005096489097214176,0.24717801022526822,0.00447552338051931,8.131279263370777,1.1834960951694153,6.926717864894255,1.0230999685246307,7.766150717755471,1.1084853995604969,7.098997167269849,1.0385974495259571
9,Región del Maule,0.8424184562668695,0.015262081171446094,0.2983451425696284,0.0053908413863146525,0.6086155628268238,0.011000317632070333,0.3379679998175159,0.006106292528056736,9.674089062571927,1.8589239856842124,6.219583599024365,0.994232561297799,8.363092553258095,1.444628706483369,6.531336158685676,1.0454329466028762
10,Región Metropolitana de Santiago,1.4958637895577367,0.027870292619787334,0.9395129885137851,0.01724094407723696,0.9403656690240562,0.01725633112595543,0.940214522803972,0.017253602805127482,16.481578586850485,1.7879670438173516,15.008861527607339,2.01097800271996,15.124694750626917,2.041638413334567,15.047607108082758,2.0192296567388897
