hora,region,concentracion_ref,concentracion_comuna,concentracion_comb,concentracion_rebote,emision_ref,emision_comuna,emision_comb,emision_rebote
0,Región Metropolitana de Santiago,15.914541986884931,14.626035942134266,14.467261996605838,14.516597909434964,1.5031826403253614,0.9518997865814811,0.9510302768989111,0.9517456592514547
0,Región de Aysén del Gral.Ibañez del Campo,9.051144729334686,8.112378870634982,7.924542169482427,8.64989493491754,1.7394921737329165,0.41583957513235237,0.274387526946232,0.9146727720820649
0,Región de Coquimbo,2.490343116797462,2.077460181308777,2.0051783242922365,2.020684455368623,0.016351616338602225,0.0004521879485012431,0.0004521879485012431,0.0004521879485012431
0,Región de La Araucanía,24.72331659536101,23.027118512237674,14.171343139430267,17.517165839321347,4.8904977100028475,4.195871602004338,2.084520772775522,2.869778247758967
0,Región de Los Lagos,18.56433952582379,12.827889749561825,10.05260014963314,13.871248502259574,5.151590848842691,2.3232763451761724,0.7057791099354953,2.577511031602375
0,Región de Los Ríos,24.149021867989347,18.041249920922024,12.6936269505102,18.568452486954023,2.8703456572392825,1.5286457169071146,0.8456600140633819,1.8024042719127071
0,Región de Magallanes y Antártica Chilena,7.031406096495682,6.635058481527001,6.670370696123197,6.704229769648817,0.0014712192168762324,0.0,0.0,0.0
0,Región de Valparaíso,5.826114799553037,4.337956199039597,4.151322240117709,4.189845840098356,0.32036424316425777,0.06592997869744416,0.06505470837261021,0.06511617317481118
0,Región de Ñuble,24.844961315565822,19.72500294588329,16.11688641248385,16.319830227207675,1.7720508091592932,1.2375126198319502,0.9738610433502004,0.9761064684070421
0,Región del Bío-Bío,18.77250324663922,16.407461386094994,12.851737251496873,13.372953377832175,2.392319408213545,1.7069370778890518,1.2098680852880455,1.2443029395417022
0,Región del Libertador Bernardo O'Higgins,8.263922301163992,7.757636929663324,6.911565385272894,7.085859056083081,0.38658387458723803,0.28110548487964815,0.23735779195981244,0.2467504532523228
0,Región del Maule,10.289491955115976,8.479348435609323,6.252211453004956,6.568525251083783,0.8399938631780132,0.6081363891376753,0.29792412233148796,0.33754129707148683
1,Región Metropolitana de Santiago,14.95251105326891,14.42558597666475,14.26701775125276,14.314883984414696,0.9479706342165015,0.5949327853075642,0.5943942502311406,0.5948373257355396
1,Región de Aysén del Gral.Ibañez del Campo,8.944991132761539,8.126405212528471,7.939364648748819,8.640997751105807,1.0779189430034513,0.2576125833918707,0.17000341867305926,0.5665672843708972
1,Región de Coquimbo,2.248652198569849,1.9245540165133066,1.8628198765026673,1.8759918138386593,0.010508134765125653,0.00036702861592972995,0.00036702861592972995,0.00036702861592972995
1,Región de La Araucanía,23.281520225931516,22.401758176784814,13.85241148257621,17.071153051790038,3.1612682786204163,2.6653305262465063,1.3198292075499505,1.815985994559823
1,Región de Los Lagos,18.420407676642082,12.786411085623834,10.062908156669335,13.87254624439009,3.7388020988824433,1.5291763779999954,0.48046934352501985,1.7541872303781025
1,Región de Los Ríos,23.980108926839083,18.02543879891804,12.69912266159891,18.541754545166313,2.135792501014965,1.0500884100513663,0.6173128034455087,1.3140116829869057
1,Región de Magallanes y Antártica Chilena,7.057473517560169,6.658112622872636,6.6933856242283225,6.72719013610504,0.0009112135743168075,0.0,0.0,0.0
1,Región de Valparaíso,5.471103188564002,4.38076081327034,4.2051427030449595,4.241383597104241,0.20004641060729425,0.04122765325099917,0.04068555032414417,0.04072361885863587
1,Región de Ñuble,22.804476059235416,18.816489158787082,15.33317972739854,15.545215022885472,1.0978642478534175,0.7665298368124174,0.6032373441424407,0.60462806028672
1,Región del Bío-Bío,17.837291040159663,16.276542960232863,12.700315004909946,13.250790477312929,1.6044609955013818,1.1529958675207872,0.8204781992639232,0.8430239206717502
1,Región del Libertador Bernardo O'Higgins,8.054433232399395,7.754943339669702,6.909611533069577,7.084621312830401,0.24090450387781362,0.17439724821949162,0.14730193494347407,0.1531193226125503
1,Región del Maule,9.996912351805868,8.448044027426182,6.271836319632193,6.58007098429127,0.5219013409465536,0.3769584871782367,0.18480031142366993,0.2093400222021956
2,Región Metropolitana de Santiago,13.55479770138201,13.690491484416642,13.538843751118945,13.584393967078842,0.8436285169496606,0.5281170569381212,0.5276402290507777,0.5280325346050863
2,Región de Aysén del Gral.Ibañez del Campo,8.837605862013023,8.133244373095648,7.953182362533334,8.609338307020176,0.9545516696412021,0.22810927815789656,0.15053880764756544,0.5016629726636096
2,Región de Coquimbo,2.0574629331114487,1.7971976082395498,1.743911152173277,1.7551487313488587,0.009400036400682828,0.00034689254046857746,0.00034689254046857746,0.00034689254046857746
2,Región de La Araucanía,21.24269440258564,21.016906364567284,13.178951404918754,16.13880455993831,2.677236472725651,2.2980736400060673,1.1420190738474827,1.5721817951381452
2,Región de Los Lagos,17.639562556495168,12.56723712673911,9.99462499178139,13.586570150124427,2.7999246639050694,1.2699713358608096,0.3852537020944381,1.406082562639465
2,Región de Los Ríos,22.727972199361588,17.463602593908792,12.37694411467484,17.821964189356688,1.557779453900916,0.8333763008287505,0.45931394207368503,0.9788807289965277
2,Región de Magallanes y Antártica Chilena,7.0704537634919875,6.667159445693657,6.703146164219494,6.735924578142775,0.0008068036889481916,0.0,0.0,0.0
2,Región de Valparaíso,5.0949677418887,4.3957123184924445,4.2300317159370655,4.264237793156188,0.17753463581587203,0.036602886068613255,0.03612289910932301,0.03615660562632438
2,Región de Ñuble,20.22422046320655,17.269795311484213,14.043240938308298,14.265573437272538,0.9721520179861602,0.6787063735679815,0.5341280109558902,0.5353593833249507
