day,comuna,region,avg_emision_ref,stddev_emision_ref,avg_emision_comb,stddev_emision_comb,avg_emision_comuna,stddev_emision_comuna,avg_emision_rebote,stddev_emision_rebote,avg_concentracion_ref,stddev_concentracion_ref,avg_concentracion_comb,stddev_concentracion_comb,avg_concentracion_comuna,stddev_concentracion_comuna,avg_concentracion_rebote,stddev_concentracion_rebote
5,Algarrobo,Región de Valparaíso,0.055287648962580406,0.0008173681260849364,0.0007808381493928636,1.1543852755627374e-05,0.0007808381493928636,1.1543852755627374e-05,0.0007808381493928636,1.1543852755627374e-05,8.095597457747127,1.2974468735730078,7.24869070886526,1.4797454730373367,7.6740581523915825,1.4693226458371411,7.3382169394501195,1.4704134280469678
3,Algarrobo,Región de Valparaíso,0.056848984275605266,0.0008813644749496277,0.0008746443227296846,1.3560141089252725e-05,0.0008746443227296846,1.3560141089252725e-05,0.0008746443227296846,1.3560141089252725e-05,8.353008676597206,1.5043503563461353,7.555133545705841,1.6637016201509307,8.014237518512763,1.7206040019740165,7.65257393245658,1.6810654712185547
4,Algarrobo,Región de Valparaíso,0.05575988278042418,0.0008051766420280031,0.0008367407913710716,1.3667530486429278e-05,0.0008367407913710716,1.3667530486429278e-05,0.0008367407913710716,1.3667530486429278e-05,7.975351369957156,1.7112529806667525,7.072460750100062,1.6835770935187062,7.492805814313606,1.7595862276135832,7.152183156713633,1.69884023438235
6,Algarrobo,Región de Valparaíso,0.05661697594324659,0.0008133520113084664,0.0008434225639223916,1.4315709251088804e-05,0.0008434225639223916,1.4315709251088804e-05,0.0008434225639223916,1.4315709251088804e-05,7.675614748488156,1.226912584902215,6.558089324153834,1.698158866186198,6.9356666059728855,1.7084494544848043,6.644938690432445,1.7019511684580768
1,Algarrobo,Región de Valparaíso,0.055655805784373305,0.0007247400165271445,0.0008095948479403984,1.0542399021190904e-05,0.0008095948479403984,1.0542399021190904e-05,0.0008095948479403984,1.0542399021190904e-05,8.745068273313828,0.8351691721705111,7.778943090693243,1.4804109872347067,8.190008404874062,1.4216586840933094,7.873571301207823,1.4636078327167363
2,Algarrobo,Región de Valparaíso,0.05684807543095009,0.0008492191497465666,0.0008597566179199207,1.274542554030677e-05,0.0008597566179199207,1.274542554030677e-05,0.0008597566179199207,1.274542554030677e-05,8.947232751819104,1.5930927798437622,7.345041623732122,1.5743266507662614,7.8318393354935445,1.5555230585820126,7.448028199406762,1.5631457298346616
7,Algarrobo,Región de Valparaíso,0.05707744642396344,0.000843310920186533,0.000811844836863767,1.1543686360027381e-05,0.000811844836863767,1.1543686360027381e-05,0.000811844836863767,1.1543686360027381e-05,8.1774733041146,1.4586191117417606,6.991820210570102,1.4118501134959118,7.40165535384319,1.4153146358256499,7.090019123832488,1.413181331155251
5,Alhué,Región Metropolitana de Santiago,0.2312021407417685,0.003418073940055728,0.5666869592451695,0.00837785736530108,0.5698207895933195,0.008424187855612395,0.572990985254072,0.00847105496759332,5.892871622707466,0.855201674914224,13.51657825977237,1.888046517766705,13.761576859259367,1.9340158576982516,13.650811346612485,1.9048404994212407
7,Alhué,Región Metropolitana de Santiago,0.2382498281939141,0.0035064845048959695,0.5817552381912386,0.008567897590195907,0.5849753190645014,0.008615369660078549,0.5882301465516534,0.008663320726478733,5.7237797821625795,1.0036560961827774,13.028579637255548,2.5483098430352555,13.270205528728185,2.6286058771463465,13.16769226655198,2.587188478401132
3,Alhué,Región Metropolitana de Santiago,0.23789827046915096,0.0036882822533688265,0.581234026220722,0.009011227533812319,0.5844468288291828,0.00906103780846998,0.5876961300250458,0.009111411227010287,6.035565560831471,1.0059890966508758,13.7376934358637,1.935712098155202,14.030879071782639,2.0015304451658857,13.890719613066382,1.958359081295886
