region,concentracion_ref,concentracion_comb,concentracion_comuna,concentracion_rebote,emision_ref,emision_comb,emision_comuna,emision_rebote,Número de habitantes
Región de Los Lagos,15.676712847534805,9.84965303762653,12.036455820038595,12.723229872182708,75.2097842244237,10.574919851517098,35.22505262417695,38.592847405404726,828708
Región Metropolitana de Santiago,12.006924741387827,11.341033145647174,11.478456369039677,11.380968395639233,23.835595341579186,14.902981920473938,14.916445290855886,14.914058787958778,7112808
Región de Aysén del Gral.Ibañez del Campo,8.800844551608895,7.982003606068617,8.149734412378894,8.53045798631675,26.952572569395592,4.250569029736946,6.4407927517981225,14.16466213101079,103158
Región de Los Ríos,19.00377669603128,11.258636681079631,15.335419401126972,15.398047032331194,41.47225110145062,12.311430064947213,22.80446545656351,26.248734314520263,384837
Región del Maule,8.662723579196605,5.7323564353659835,7.397068325048957,5.978892484419298,13.06083740515556,4.622294978139358,9.42653179224848,5.235814718155665,1044950
Región del Libertador Bernardo O'Higgins,7.084993295080953,6.080527323794882,6.757809565139887,6.222496195637877,6.034435454324991,3.6849002643041104,4.362280565590947,3.830334723003521,914555
Región de Valparaíso,4.7995140954458515,4.038608508257072,4.193036458820772,4.072370433696837,5.014231547844535,1.0203004953401844,1.0338530665369543,1.0212522084732731,1815902
Región del Bío-Bío,13.905936355565647,10.641248905836568,13.35258600127727,11.132276296254227,36.09828200436636,18.14550392948929,25.63454934538845,18.668461193171485,1556805
Región de Ñuble,16.953211299503423,11.769544041208682,14.367678068928251,11.987133370390378,27.44929743147559,15.08150066838885,19.163797807135616,15.11626857007948,480609
Región de La Araucanía,17.66603409459048,11.462143341585769,17.478500202023522,13.758949377669463,74.67321628786462,32.04483095645229,64.42068597173711,44.121730390402305,957224
