comuna,region,concentracion_ref,concentracion_comuna,concentracion_comb,concentracion_rebote,emision_ref,emision_comuna,emision_comb,emision_rebote
Cisnes,Región de Aysén del Gral.Ibañez del Campo,9.70332930216885,9.399045439818426,8.907725693435873,9.355873452439592,1.3679807805871655,1.4367036814855905,0.3359556793556356,1.1203683872522918
Lago Verde,Región de Aysén del Gral.Ibañez del Campo,6.854914210901133,6.965747420577749,6.635732372341527,6.947119820160395,0.007894271097098123,0.08190410880136666,0.020541082466824772,0.06826635377130696
Curepto,Región del Maule,8.391554633439744,8.595352609762354,6.776267407636942,7.080455825502829,0.12781226751857105,0.13547396378020826,0.0634172582982858,0.07225816054932077
Aysén,Región de Aysén del Gral.Ibañez del Campo,10.164146957965789,9.020259116097524,8.96353384484021,9.390251899700875,7.02241759142572,0.39216183234335034,0.3798149396506057,1.2638918888705886
Curacautín,Región de La Araucanía,7.1604627403308605,9.978519024029453,6.812084786631597,7.656098523407402,1.2074218932291487,1.6606299244421998,0.6938484627039846,0.9432114127422538
Putaendo,Región de Valparaíso,1.422425992680371,1.203798588685778,1.1794868092140955,1.184995465000882,0.2182328966873216,0.001206775529215552,0.001206775529215552,0.001206775529215552
Palena,Región de Los Lagos,7.4709093612545985,7.256164954038144,6.864236766982068,7.221320518918256,0.16405069635915395,0.0830565783900426,0.019548402534563362,0.06465682437084289
O'Higgins,Región de Aysén del Gral.Ibañez del Campo,5.9950061787719715,5.701785098186755,5.710228223383831,5.785015841339508,0.0014467979969934577,0.009224157321238434,0.0022141555849079677,0.007193227083821189
Panguipulli,Región de Los Ríos,12.091145097200807,13.655462151085523,9.0798866787902,11.779795798693135,4.758182766874448,4.765850897800053,1.9778324732968662,3.919680071970389
Cañete,Región del Bío-Bío,11.156508610259102,13.364727148106304,10.923239597692033,11.707060489104553,1.2352265378581706,0.5052879874694326,0.2788690780574617,0.31566372635520107
Pucón,Región de La Araucanía,11.046137984277257,14.350637331550907,8.94044921652123,10.588182384419758,3.0673036363715074,3.1547812679080076,1.3171243045671988,1.8449039912234009
San Clemente,Región del Maule,3.824845344664189,3.2301669806044466,2.7923937992697065,2.8720523640278603,0.7132252276205512,0.3402001699414676,0.1988023770006536,0.22701457046541
Requínoa,Región del Libertador Bernardo O'Higgins,5.483477364826031,5.903563102183882,5.826234024613372,5.9244768210423056,0.4093043298476552,0.23024105033711295,0.22992394137686253,0.24062399110039712
Arauco,Región del Bío-Bío,14.05723998594891,15.748215210151825,13.786077441458971,14.217795188058236,0.529892132343826,1.2066974205521666,0.9751785443259112,0.9752282232285739
Tiltil,Región Metropolitana de Santiago,8.059442703717343,13.129169321870888,13.035857431527809,13.05806309534718,0.6933569028209179,1.0982141508690737,1.0982141508690737,1.0982141508690737
Puyehue,Región de Los Lagos,12.338237815821312,11.026371839564685,8.73457796602245,12.697651554738137,1.8811092010249475,1.2521192224191429,0.5525956630750934,2.0188422940907604
San Esteban,Región de Valparaíso,1.2509937672360003,1.19379955256754,1.172349836317189,1.1774296632430234,0.33018281206565103,0.005220904572660469,0.005220904572660469,0.005220904572660469
Hijuelas,Región de Valparaíso,7.02309270677393,4.88496799381175,4.74853387119999,4.779904672983806,0.16027336390229854,0.040815208596131254,0.040815208596131254,0.040815208596131254
Tortel,Región de Aysén del Gral.Ibañez del Campo,8.10160353098222,7.828591929797277,7.826488051738278,7.907190198960177,0.0047106863747695,0.03282680291858288,0.007690710909689522,0.025544314479063114
Empedrado,Región del Maule,9.095875462458226,10.328388381293172,8.288467976446993,8.630126854547715,0.09223399532003433,0.1038218947071975,0.04304252193652958,0.049211188194461956
Lonquimay,Región de La Araucanía,5.704498883139517,6.757933000538722,5.252188646054133,5.662602311962717,1.184059140950039,1.3679848920010258,0.5716112638105342,0.7770046206608989
Curarrehue,Región de La Araucanía,7.501523244230803,9.712381212475263,6.866869040258423,7.7820147283686385,0.7009922034845667,0.9149794596626888,0.3819783449473228,0.5374067462513833
Futaleufú,Región de Los Lagos,9.19214978968099,7.228374171141557,6.860030581972539,7.210425055026282,0.8418111786374716,0.00017886663529134497,0.00016919196231352925,0.0001760636682201204
Coihueco,Región de Ñuble,7.278018917839205,6.834130769730377,5.693061091428397,5.760887887478745,1.823761167042445,1.3607594930558462,0.9967708787540522,0.997538983706905
Los Angeles,Región del Bío-Bío,27.912182403863405,18.498260973582635,14.021656079581987,14.67670553631964,6.492197973809648,2.222142638064785,1.4341251875569498,1.4760060549170322
Los Lagos,Región de Los Ríos,17.49577325128891,15.522052878676682,10.896705721576321,14.398867139557364,2.6030088253535157,1.8305158532839676,0.7742310103868247,1.624534204408199
Contulmo,Región del Bío-Bío,11.420934487892817,14.645027802415468,11.164123365651966,12.315906724178415,0.28202765152659853,0.3140434736599512,0.15575629854591208,0.18876792579426202
Cochamó,Región de Los Lagos,8.01079177129041,7.3613875819356975,6.801382561603929,7.354737775828232,0.19062510937936317,0.0002918324296449338,0.00018443608074542885,0.00025496886021874053
San Carlos,Región de Ñuble,31.93103938267391,16.5410769350327,13.561416259210434,13.83063555003701,3.4971355129154205,1.2508998377276832,1.0104807550630874,1.0204682801618172
Melipilla,Región Metropolitana de Santiago,15.830460433217164,16.0988275619098,15.806765413726156,15.881719802454848,1.3069780330655878,1.021907599409342,1.0205268387249042,1.0208226787935903
Río Ibáñez,Región de Aysén del Gral.Ibañez del Campo,6.733109888893532,6.405471697990986,6.362945180663514,6.74432085466735,0.2883142348873868,0.008822228702247577,0.008822228702247577,0.028850231748935952
Pumanque,Región del Libertador Bernardo O'Higgins,8.551459834544906,7.6830942599033865,6.127481393540111,6.356345647602643,0.03835611940653696,0.07962148518815068,0.04852694747633166,0.05090916512256881
Chaitén,Región de Los Lagos,9.018913255121342,8.255093753624294,7.764870868262613,8.221887567982465,0.4094838595878508,0.08739433949324872,0.020038249698550753,0.0667832828576911
Romeral,Región del Maule,2.8845098024127847,3.3274775732911865,2.946361952552256,3.0330700812258593,0.14632617408922458,0.2822606882080691,0.17187030238898804,0.19481288900958382
