hora,comuna,region,avg_emision_ref,stddev_emision_ref,avg_emision_comb,stddev_emision_comb,avg_emision_comuna,stddev_emision_comuna,avg_emision_rebote,stddev_emision_rebote,avg_concentracion_ref,stddev_concentracion_ref,avg_concentracion_comb,stddev_concentracion_comb,avg_concentracion_comuna,stddev_concentracion_comuna,avg_concentracion_rebote,stddev_concentracion_rebote
0,Algarrobo,Región de Valparaíso,0.003622282418770732,6.64870353507304e-05,3.864329157598765e-05,1.479475183156533e-06,3.864329157598765e-05,1.479475183156533e-06,3.864329157598765e-05,1.479475183156533e-06,9.258029940377833,1.9154074212423613,5.566382114693176,1.5248392348059925,6.003945622379467,1.5105492391885769,5.658904016341349,1.5212285603223243
0,Alhué,Región Metropolitana de Santiago,0.015099288183148938,0.0002804863986240725,0.03706603700941609,0.0006710194181862371,0.03727157627323901,0.000674735459523659,0.03747942365971762,0.0006784942931601771,6.75090034550303,1.594172740365878,16.41723795660009,2.75813154477044,16.747585172676345,2.877501565873178,16.612314387567604,2.797502042713135
0,Alto Biobío,Región del Bío-Bío,0.012583155291606155,0.0002225258000518296,0.0020442532900715265,3.6679309340863206e-05,0.0038850011546965003,6.975721859881456e-05,0.0023853163221977045,4.280516005977343e-05,4.533724173034914,1.8204268301177835,4.228439149245027,1.749986798473319,4.746089481049722,1.874951580748479,4.320525949523537,1.764633899890424
0,Ancud,Región de Los Lagos,0.2670643905966105,0.004823618694555146,0.05124353606705068,0.0009238346548346268,0.2587371831326503,0.004672677479451297,0.18751610137277722,0.0033842434045838537,22.46556361252909,4.579174455063281,13.088881706294323,4.275848953981431,19.23443466980433,3.9972760601761776,17.39562444254295,3.9054776672403437
0,Angol,Región de La Araucanía,0.2668381380346748,0.004805107601937555,0.07511400396607117,0.0013582354601817223,0.16807965636252015,0.0030425122223254313,0.09752998858849,0.00176366225192891,26.994835941814337,7.111597244835283,16.252921474247035,3.618728238211119,27.408392000810696,7.701199350450317,19.153205176214055,4.549998784692944
0,Antuco,Región del Bío-Bío,0.022071206516437784,0.0004006291763115447,0.018888713494187543,0.00034036784940630376,0.027872622965721464,0.0005025460057370564,0.01888955605895353,0.00034037079653100163,3.9172427357890576,1.6345388653896054,4.264966821687353,1.5455572604478953,4.936765548974711,1.6488117301878475,4.306067601163904,1.547987106913471
0,Arauco,Región del Bío-Bío,0.03939554976212259,0.0007142272348873008,0.07244651390635863,0.0013079648427584516,0.08962991747927737,0.001618682663477912,0.07245020843443188,0.001307980161608177,16.269402131355466,3.3177913499287217,15.368088234985866,3.347587142139957,17.481148626903696,3.5726358270815886,15.719633246635398,3.3069188357522816
0,Aysén,Región de Aysén del Gral.Ibañez del Campo,0.4533817833764917,0.008171094969599805,0.024503799773574392,0.00044183203757003884,0.025301203263503647,0.00045620983465004695,0.08160043612761682,0.001473141143592065,10.47306157147531,2.94582223645539,8.865321170339321,3.0207682272948047,8.892625530049528,3.1440441267302544,9.346029181704687,2.8667397882810417
0,Buin,Región Metropolitana de Santiago,0.09893886136940853,0.0017919828514017825,0.0348190931009543,0.0006343665903896401,0.0348190931009543,0.0006343665903896401,0.03483548539173826,0.0006346626031754381,61.61309363826428,14.202633696239577,24.918634170332766,4.180106209734621,25.004358300196575,4.3001491260530935,24.971491344536048,4.192792326187831
0,Bulnes,Región de Ñuble,0.07841578356881404,0.001417945166320039,0.06028564603102504,0.00108815875006009,0.07635601893148246,0.0013787548321461088,0.060290060647010535,0.0010881982306951863,44.90199401385922,15.684665310031333,27.82461450150982,8.069748667423523,34.40079010845324,10.041038087304946,28.118374329313227,8.09121299289753
0,Cabildo,Región de Valparaíso,0.001975908401688173,3.669832006720646e-05,2.0302208482720572e-05,6.776236683508252e-07,2.0302208482720572e-05,6.776236683508252e-07,2.0302208482720572e-05,6.776236683508252e-07,2.526354720897618,0.7507827107552818,1.750200473799592,0.6984066332825831,1.8225112824369043,0.7030455866973351,1.7641198086738583,0.7010305085029099
0,Cabrero,Región del Bío-Bío,0.0852169960241612,0.001541735087365862,0.04906573544171252,0.000885744755002063,0.07229115544192861,0.0013057767110642787,0.04906826081716696,0.0008857554144977664,34.658387128155155,10.182472016848584,19.30538227615242,5.043593581103514,26.229842692197202,7.205050395768328,19.75216294431877,5.079741786395414
0,Calbuco,Región de Los Lagos,0.10281690962609491,0.0018653180001830996,0.012405483768623706,0.00022384032568441967,0.06253508574017566,0.001129537168332472,0.045328537464534455,0.0008182620557639352,27.299239547072716,7.024517630675312,11.222503576638562,3.825011362394898,16.28598026009725,3.8840066754326705,15.237519742982693,3.740976695510938
0,Calera,Región de Valparaíso,0.00344703423233469,6.26411840560618e-05,3.51156969090154e-05,7.825976567857334e-07,3.51156969090154e-05,7.825976567857334e-07,3.51156969090154e-05,7.825976567857334e-07,9.461946442297528,1.6749664100703445,4.299829792905422,1.1018458279759908,4.523875417028156,1.0901402808568748,4.349376574726332,1.1022660012783334
0,Calera de Tango,Región Metropolitana de Santiago,0.029626299745642237,0.0005351524686745187,0.01088973427114259,0.00019911139123539797,0.01088973427114259,0.00019911139123539797,0.010890173318402321,0.0001991193161239102,65.60533200780549,17.116246332757296,25.33387933254242,4.536235191004665,25.445071109930677,4.6393784355847645,25.372305861910185,4.542872929935802
0,Calle Larga,Región de Valparaíso,0.01769349762985669,0.00031872147531099775,0.008874930798532691,0.00016054255841510155,0.008874930798532691,0.00016054255841510155,0.008874930798532691,0.00016054255841510155,4.340632079164315,1.2409839062168053,4.5658444321387766,1.2195747376451107,4.617240746867607,1.231551786515074,4.57804467103311,1.224784320916488
