region,date,concentracion_ref,concentracion_comb,concentracion_comuna,concentracion_rebote,emision_ref,emision_comb,emision_comuna,emision_rebote
Región de Ñuble,2015-08-24,13.633400169155031,9.739959323382102,11.546020115974521,9.846566950617618,27.48603060032121,15.12253470630538,19.21260368039619,15.157673376251461
Región de Aysén del Gral.Ibañez del Campo,2015-08-05,13.54867390121303,11.596279525908184,11.99049996116589,12.048975135845895,26.44899563486872,4.172128203715466,6.321478056453502,13.901387703235898
Región de Aysén del Gral.Ibañez del Campo,2015-06-01,6.0142615021738015,5.219045537330918,5.530087487916588,5.965243619836597,27.94109640799415,4.408747657355596,6.6767920716041775,14.67556315815184
Región del Bío-Bío,2015-07-18,12.659967531465782,8.75553500980202,11.988800438761741,9.607118546736187,36.297328660915056,18.222363408711814,25.749253827295814,18.74738051464757
Región de Los Lagos,2015-07-02,13.56140947987625,7.257984791884955,9.713628434885315,10.475452536495307,73.49567892854571,10.34761884126598,34.42273320893102,37.716685308834556
Región del Bío-Bío,2015-08-29,15.39186409989025,11.509392737852643,14.263716493247907,11.784269372460585,36.29732885642287,18.217851656147023,25.742616384693758,18.742868972494175
Región de Los Lagos,2015-08-13,15.211816020875448,10.832114443707566,12.424661790806727,12.734465414988623,73.49567870495869,10.34761884155701,34.42273320922204,37.71668530912567
Región de Aysén del Gral.Ibañez del Campo,2015-05-23,7.912908042301631,7.877284931619149,8.068949895030178,8.419439903633714,27.05434883142264,4.26455535639134,6.465575307580743,14.227079434898965
Región de Aysén del Gral.Ibañez del Campo,2015-06-09,8.50223509288209,7.845914882652157,8.006377233209184,8.435001653204285,27.85439664616718,4.39429621914975,6.656890483222461,14.636262390506106
Región de Los Lagos,2015-08-06,21.19898060198634,15.625943172873294,17.486699731788736,17.81140537858478,73.49567893442264,10.347618841556487,34.42273320922155,37.71668530912511
Región de La Araucanía,2015-05-21,13.435498047561449,9.268223889149418,12.945257700170396,10.503611478268345,72.92806140809758,31.32987022219834,62.946869402935555,43.12885030666401
Región del Bío-Bío,2015-07-11,14.967481379672739,11.476427780448967,14.165104299449155,11.98235692315826,36.29732875461272,18.222363455908663,25.749253874492673,18.74738056184443
Región de Los Lagos,2015-05-30,15.770816974679729,7.205546891520159,10.730700084333524,11.354638640827714,75.51726776349341,10.607373095532834,35.37778946097369,38.75806586208107
Región del Libertador Bernardo O'Higgins,2015-07-14,8.45259405162953,7.75133874327894,8.062526366107923,7.86062595676874,6.041097058640267,3.6862456773957,4.363427324426578,3.8316475109232484
Región de Los Ríos,2015-05-11,18.30999772405172,8.397758871763298,12.186286088343996,13.476006365470884,41.6014018075513,12.350250444241881,22.865311109337195,26.31811148798892
Región de Aysén del Gral.Ibañez del Campo,2015-08-04,11.109426285678193,9.628088179656231,9.900765106964755,10.226029248900845,26.955867771458607,4.25254473415835,6.442152088005852,14.164124968186915
Región de Aysén del Gral.Ibañez del Campo,2015-06-19,6.337063432183437,5.940350549475981,6.239866733006201,6.727884736232229,27.714321831518642,4.3636079538187,6.616520516756169,14.56023553152668
Región de Aysén del Gral.Ibañez del Campo,2015-07-24,11.47224232638705,10.451581523127885,10.675775888939386,10.98828534570559,26.82031139243397,4.222846099475939,6.403084061105831,14.090549440273335
