date,region,concentracion_ref,concentracion_comb,concentracion_comuna,concentracion_rebote,emision_ref,emision_comb,emision_comuna,emision_rebote,número de habitantes
2015-05-03,Región del Libertador Bernardo O'Higgins,6.648029129863872,4.29677661907781,5.17854066215974,4.472791056673136,5.916848365917818,3.614257458166737,4.278973221035697,3.7569517611328136,914555
2015-06-18,Región de Valparaíso,5.636141428050635,5.593986615411122,5.64447266100965,5.605676248098245,5.041757421984192,1.0278922341744894,1.041568289776427,1.028852804072636,1815902
2015-08-08,Región de Aysén del Gral.Ibañez del Campo,10.847156395586728,9.96825769314389,10.16842062842638,10.563372685480601,27.054348839032265,4.264555356862963,6.465575308052361,14.227079435370575,103158
2015-05-10,Región de Aysén del Gral.Ibañez del Campo,5.3085949777442645,4.784581118535244,3.147282058835966,5.549244973924999,26.427310892403117,4.167395626681181,6.316578477555368,13.895601265981798,103158
2015-08-06,Región del Bío-Bío,13.119998779270047,11.547488885972422,12.50775860032135,11.581526115876926,35.22499902049283,17.73367948622096,25.04679911497843,18.244987905572223,1556805
2015-08-31,Región de La Araucanía,15.96688324473041,11.273547877553833,16.115580598278868,13.098482644311927,74.83177808100221,32.14416888684366,64.58771998851526,44.25087682539037,957224
2015-07-29,Región de Aysén del Gral.Ibañez del Campo,8.424011938947935,7.1694921334314765,7.501527450149742,7.8934527369941385,26.448995627314236,4.172128202830817,6.321478055568859,13.901387702351231,103158
2015-06-29,Región de Aysén del Gral.Ibañez del Campo,10.216199066353106,9.65040155597301,9.768570921200025,9.80923403027617,27.941096408030283,4.40874765676668,6.676792071015255,14.675563157562928,103158
2015-08-19,Región de Los Ríos,23.308320552575392,14.3272862329983,17.159688623542873,18.61297679969999,40.700127861445004,12.083112870934567,22.38039704651347,25.760495690324674,384837
2015-08-29,Región de Aysén del Gral.Ibañez del Campo,12.195321866545187,11.054796413868374,11.226673239264448,11.259891816384819,27.054348831173062,4.264555357911287,6.465575309100686,14.227079436418895,103158
2015-07-12,Región de Aysén del Gral.Ibañez del Campo,7.248424570910421,6.72495896974507,6.896571927605742,6.987472146177298,26.42731087855391,4.167395625329978,6.31657847620416,13.895601264630612,103158
2015-05-09,Región de Los Ríos,19.234950881238774,10.323936587278222,13.13260599450243,14.950933153090668,41.633951843861205,12.359384347893567,22.90445137787998,26.364490455397203,384837
2015-07-05,Región de Los Lagos,15.835729403077266,10.117970484783871,12.668151622520686,13.162608554608717,73.76199498852773,10.366504959944125,34.55433882000219,37.85690841135842,828708
2015-06-17,Región de Los Ríos,18.713047032979624,9.574109744665217,13.282909203708998,14.041610712557354,42.05672705522237,12.485883315567055,23.12641030144969,26.619178838572548,384837
2015-08-27,Región de La Araucanía,16.263267290492962,11.249376027557432,15.887619772895304,13.032363503831684,72.92806456060003,31.329870521694755,62.94687015990419,43.12885072035259,957224
2015-08-22,Región del Bío-Bío,11.828118223633815,10.408424393776569,11.777656850512884,10.797359356467169,36.29725250795594,18.222363363013034,25.749253631591184,18.747380431505675,1556805
2015-08-11,Región del Libertador Bernardo O'Higgins,5.999775987641282,5.6621175544024505,6.222232163523875,5.778906511935416,6.041097563692542,3.6862456806045993,4.363427327635477,3.8316475141321455,914555
2015-06-08,Región de La Araucanía,19.422440525050735,14.33216772723995,19.369662559605576,16.425772317492417,77.32617055731788,33.215641176452166,66.74064401454669,45.72590600362648,957224
2015-08-23,Región de Aysén del Gral.Ibañez del Campo,10.078251880224594,9.075228855727985,9.237831057760754,9.355066968554192,26.427262505888677,4.167394840492802,6.316577691366988,13.895600250451349,103158
2015-08-02,Región de Ñuble,19.538895700330112,12.976563088798626,15.822232822951001,13.296989651261766,26.95249243890614,14.793925061619639,18.800095727309667,14.82787610409019,480609
2015-07-10,Región de Aysén del Gral.Ibañez del Campo,8.361889358317141,7.645907629137443,7.9290101809082545,8.055968386373621,26.820311384951562,4.222846392710673,6.40308435434056,14.090550499410176,103158
2015-06-20,Región de Aysén del Gral.Ibañez del Campo,7.3436472714809735,5.972882678614847,6.3726695407978875,6.8193727326381275,27.956160445721274,4.406707192869434,6.681094475465907,14.701315444101985,103158
2015-06-13,Región de Los Lagos,13.871500812556059,8.143232384856704,10.578104073040825,10.87034400492703,78.03450842475596,10.960952177463499,36.5570490964832,40.050001460791066,828708
2015-05-11,Región Metropolitana de Santiago,10.336602380290044,9.771836739807378,9.812954361954118,9.798888759183814,23.917402310828162,14.955534260237647,14.969025662627926,14.966636125472501,7112808
2015-08-25,Región de Aysén del Gral.Ibañez del Campo,7.406001721023961,6.54623056425766,6.947195751378025,7.289706220580165,26.95586777288402,4.252544734794126,6.442152088641622,14.164124968822675,103158
2015-08-20,Región del Bío-Bío,15.50196538961322,12.459285449005819,15.725803114435255,13.28063562673501,35.22499885711439,17.733679416707528,25.046799045464997,18.24498783605878,1556805
2015-05-20,Región de Aysén del Gral.Ibañez del Campo,6.2299090562295705,5.312387250931879,5.708262424014779,6.113998591735508,26.448995634795345,4.172128203709007,6.321478056447044,13.90138770322943,103158
2015-07-27,Región de La Araucanía,14.191994998458526,8.889130976246093,13.344620183252223,10.47693278143229,74.83177809052869,32.14416889034534,64.58771999201689,44.25087682889206,957224
2015-06-09,Región de Aysén del Gral.Ibañez del Campo,8.502235092882088,7.845914882652158,8.006377233209188,8.435001653204287,27.85439664616718,4.394296219149749,6.656890483222462,14.636262390506104,103158
2015-06-22,Región de Los Ríos,18.603099062472317,12.525816496731576,17.143300648713836,16.79346805759676,42.98811518262954,12.761925408222853,23.62748816313695,27.195381819705247,384837
