hora,comuna,region,concentracion_ref,concentracion_comuna,concentracion_comb,concentracion_rebote,emision_ref,emision_comuna,emision_comb,emision_rebote
0,Algarrobo,Región de Valparaíso,9.258029940377835,6.003945622379466,5.566382114693178,5.658904016341352,0.0036222824187707313,3.8643291575987654e-05,3.8643291575987654e-05,3.8643291575987654e-05
0,Alhué,Región Metropolitana de Santiago,6.750900345503031,16.747585172676345,16.417237956600086,16.612314387567615,0.015099288183148938,0.03727157627323898,0.037066037009416096,0.037479423659717626
0,Alto Biobío,Región del Bío-Bío,4.533724173034915,4.746089481049721,4.228439149245028,4.320525949523536,0.012583155291606153,0.0038850011546965003,0.0020442532900715278,0.002385316322197704
0,Ancud,Región de Los Lagos,22.4655636125291,19.23443466980433,13.088881706294325,17.395624442542953,0.2670643905966105,0.25873718313265026,0.05124353606705069,0.18751610137277722
0,Andacollo,Región de Coquimbo,3.0261062636616676,2.134403877456983,2.06961700483447,2.0845219297778037,2.428544927933853e-05,3.2257749306203835e-06,3.2257749306203835e-06,3.2257749306203835e-06
0,Angol,Región de La Araucanía,26.994835941814323,27.408392000810707,16.25292147424704,19.15320517621405,0.2668381380346748,0.16807965636252012,0.07511400396607117,0.09752998858849002
0,Antuco,Región del Bío-Bío,3.9172427357890576,4.9367655489747095,4.264966821687353,4.306067601163906,0.022071206516437784,0.027872622965721457,0.01888871349418754,0.018889556058953542
0,Arauco,Región del Bío-Bío,16.269402131355477,17.481148626903696,15.36808823498587,15.7196332466354,0.03939554976212259,0.08962991747927739,0.07244651390635864,0.07245020843443192
0,Aysén,Región de Aysén del Gral.Ibañez del Campo,10.473061571475306,8.892625530049528,8.865321170339325,9.34602918170469,0.4533817833764917,0.025301203263503647,0.02450379977357439,0.08160043612761679
0,Buin,Región Metropolitana de Santiago,61.613093638264296,25.00435830019658,24.918634170332762,24.97149134453606,0.09893886136940853,0.03481909310095429,0.03481909310095429,0.03483548539173827
0,Bulnes,Región de Ñuble,44.90199401385921,34.40079010845322,27.82461450150983,28.118374329313227,0.07841578356881403,0.07635601893148246,0.06028564603102504,0.060290060647010556
0,Cabildo,Región de Valparaíso,2.5263547208976185,1.8225112824369043,1.750200473799592,1.7641198086738585,0.0019759084016881725,2.0302208482720572e-05,2.0302208482720572e-05,2.0302208482720572e-05
0,Cabrero,Región del Bío-Bío,34.658387128155134,26.229842692197206,19.305382276152418,19.752162944318773,0.08521699602416123,0.07229115544192861,0.04906573544171254,0.04906826081716695
0,Calbuco,Región de Los Lagos,27.29923954707273,16.28598026009726,11.222503576638566,15.237519742982697,0.10281690962609494,0.06253508574017565,0.012405483768623708,0.04532853746453448
0,Calera,Región de Valparaíso,9.461946442297531,4.5238754170281545,4.29982979290542,4.349376574726332,0.0034470342323346895,3.51156969090154e-05,3.51156969090154e-05,3.51156969090154e-05
0,Calera de Tango,Región Metropolitana de Santiago,65.60533200780552,25.445071109930673,25.333879332542413,25.372305861910178,0.029626299745642237,0.010889734271142591,0.010889734271142591,0.010890173318402325
0,Calle Larga,Región de Valparaíso,4.3406320791643145,4.617240746867607,4.56584443213878,4.5780446710331075,0.017693497629856687,0.00887493079853269,0.00887493079853269,0.00887493079853269
0,Canela,Región de Coquimbo,4.0095026703033,2.997471140328883,2.8749854338694405,2.9021552863196547,0.0007100599193977711,3.9307058435832855e-05,3.9307058435832855e-05,3.9307058435832855e-05
0,Carahue,Región de La Araucanía,18.600486973270804,23.642011703001835,15.171993307841918,18.15045860780377,0.15469814136736765,0.13945643110278186,0.059194928722446596,0.08004560101433891
0,Cartagena,Región de Valparaíso,8.659993617749608,8.153782166874475,7.721957863338006,7.809736535083401,0.0038068004888859542,0.0022015325888534456,0.0022015325888534456,0.0022015325888534456
0,Casablanca,Región de Valparaíso,7.6700387875718326,8.019622189050526,7.646794563379378,7.726083562022064,0.010862904579213701,0.006896495433536581,0.006896495433536581,0.006896495433536581
0,Castro,Región de Los Lagos,31.839635039598516,23.33351938965993,13.756059623268937,20.26469810192401,0.1630901034366041,0.10408971795376756,0.02061540122214314,0.0754377221365604
0,Catemu,Región de Valparaíso,8.97125430686991,3.080157578106999,2.9533825677205874,2.9806056258752345,0.011668760785112513,0.00031825451243559024,0.00031825451243559024,0.00031825451243559024
0,Cauquenes,Región del Maule,13.14237532810616,14.919287742028542,11.0742629136776,11.519327902952304,0.05157090416316458,0.057227519179416216,0.02755566644206874,0.029964525766959158
0,Cañete,Región del Bío-Bío,13.883989966533402,14.004366533510613,11.281275411468565,12.055962179234538,0.09205691643662078,0.036696143244068107,0.020360698213829027,0.02296833489914948
0,Cerrillos,Región Metropolitana de Santiago,62.26334172487257,43.30166447559991,43.21893794139229,43.24669200976689,0.005628945659193904,0.0017085859122493506,0.0017085859122493506,0.0017085859122493506
0,Cerro Navia,Región Metropolitana de Santiago,56.46804219086964,48.95072631835935,48.87017707824707,48.89703635639615,0.0057320275670178274,0.002710875741649609,0.002710875741649609,0.002710875741649609
0,Chaitén,Región de Los Lagos,9.012360103260336,8.069225196660184,7.5802319994747736,8.029708783698457,0.026387456073559287,0.0056304652094874355,0.0012803826143305726,0.004299333951159211
0,Chanco,Región del Maule,10.703382493074125,11.431037751879446,8.968870092492839,9.339096322670956,0.010633451811117182,0.010298699385309373,0.004274862151825637,0.004853690830089177
0,Chiguayante,Región del Bío-Bío,63.735341073848595,30.53825223655612,27.351703680665402,27.68822596271834,0.04020477922780432,0.014961233758108509,0.013930997064775835,0.013931627541984626
